! Freq(MHz)     Int(K)
 97432.1621       0.00 
 97432.4061       0.00 
 97432.6501       0.00 
 97432.8941       0.00 
 97433.1381       0.00 
 97433.3821       0.00 
 97433.6261       0.00 
 97433.8701       0.00 
 97434.1141       0.00 
 97434.3581       0.00 
 97434.6021       0.00 
 97434.8461       0.00 
 97435.0901       0.00 
 97435.3341       0.00 
 97435.5781       0.00 
 97435.8221       0.00 
 97436.0661       0.00 
 97436.3101       0.00 
 97436.5541       0.00 
 97436.7981       0.00 
 97437.0421       0.00 
 97437.2861       0.00 
 97437.5301       0.00 
 97437.7741       0.00 
 97438.0181       0.00 
 97438.2621       0.00 
 97438.5061       0.00 
 97438.7501       0.00 
 97438.9941       0.00 
 97439.2381       0.00 
 97439.4821       0.00 
 97439.7261       0.00 
 97439.9701       0.00 
 97440.2141       0.00 
 97440.4581       0.01 
 97440.7021       0.02 
 97440.9461       0.03 
 97441.1901       0.05 
 97441.4341       0.06 
 97441.6781       0.06 
 97441.9221       0.06 
 97442.1661       0.05 
 97442.4101       0.03 
 97442.6541       0.02 
 97442.8981       0.01 
 97443.1421       0.01 
 97443.3861       0.00 
 97443.6301       0.00 
 97443.8741       0.00 
 97444.1181       0.00 
 97444.3621       0.00 
 97444.6061       0.00 
 97444.8501       0.01 
 97445.0941       0.02 
 97445.3381       0.02 
 97445.5821       0.03 
 97445.8261       0.04 
 97446.0701       0.04 
 97446.3141       0.03 
 97446.5581       0.03 
 97446.8021       0.02 
 97447.0461       0.01 
 97447.2901       0.01 
 97447.5341       0.00 
 97447.7781       0.00 
 97448.0221       0.00 
 97448.2661       0.00 
 97448.5101       0.00 
 97448.7541       0.00 
 97448.9981       0.00 
 97449.2421       0.00 
 97449.4861       0.00 
 97449.7301       0.00 
 97449.9741       0.00 
 97450.2181       0.00 
 97450.4621       0.00 
 97450.7061       0.00 
 97450.9501       0.00 
 97451.1941       0.00 
 97451.4381       0.00 
 97451.6821       0.00 
 97451.9261       0.00 
 97452.1701       0.00 
 97452.4141       0.00 
 97452.6581       0.00 
 97452.9021       0.00 
 97453.1461       0.00 
 97453.3901       0.00 
 97453.6341       0.00 
 97453.8781       0.00 
 97454.1221       0.00 
 97454.3661       0.00 
 97454.6101       0.00 
 97454.8541       0.00 
 97455.0981       0.00 
 97455.3421       0.00 
 97455.5861       0.01 
 97455.8301       0.03 
 97456.0741       0.08 
 97456.3181       0.17 
 97456.5621       0.31 
 97456.8061       0.56 
 97457.0501       0.83 
 97457.2941       1.02 
 97457.5381       1.13 
 97457.7821       1.10 
 97458.0261       0.95 
 97458.2701       0.75 
 97458.5141       0.55 
 97458.7581       0.45 
 97459.0021       0.47 
 97459.2461       0.63 
 97459.4901       0.83 
 97459.7341       1.05 
 97459.9781       1.13 
 97460.2221       1.07 
 97460.4661       0.95 
 97460.7101       0.69 
 97460.9541       0.42 
 97461.1981       0.25 
 97461.4421       0.12 
 97461.6861       0.06 
 97461.9301       0.02 
 97462.1741       0.01 
 97462.4181       0.00 
 97462.6621       0.00 
 97462.9061       0.00 
 97463.1501       0.00 
 97463.3941       0.00 
 97463.6381       0.00 
 97463.8821       0.00 
 97464.1261       0.00 
 97464.3701       0.00 
 97464.6141       0.00 
 97464.8581       0.00 
 97465.1021       0.00 
 97465.3461       0.00 
 97465.5901       0.00 
 97465.8341       0.00 
 97466.0781       0.00 
 97466.3221       0.00 
 97466.5661       0.00 
 97466.8101       0.00 
 97467.0541       0.00 
 97467.2981       0.00 
 97467.5421       0.00 
 97467.7861       0.00 
 97468.0301       0.00 
 97468.2741       0.00 
 97468.5181       0.00 
 97468.7621       0.00 
 97469.0061       0.00 
 97469.2501       0.00 
 97469.4941       0.00 
 97469.7381       0.00 
 97469.9821       0.00 
 97470.2261       0.00 
 97470.4701       0.00 
 97470.7141       0.00 
 97470.9581       0.00 
 97471.2021       0.00 
 97471.4461       0.00 
 97471.6901       0.00 
 97471.9341       0.00 
 97472.1781       0.00 
 97472.4221       0.00 
 97472.6661       0.00 
 97472.9101       0.00 
 97473.1541       0.00 
 97473.3981       0.00 
 97473.6421       0.00 
 97473.8861       0.00 
 97474.1301       0.00 
 97474.3741       0.00 
 97474.6181       0.00 
 97474.8621       0.00 
 97475.1061       0.00 
 97475.3501       0.00 
 97475.5941       0.00 
 97475.8381       0.00 
 97476.0821       0.00 
 97476.3261       0.00 
 97476.5701       0.00 
 97476.8141       0.00 
 97477.0581       0.00 
 97477.3021       0.00 
 97477.5461       0.00 
 97477.7901       0.00 
 97478.0341       0.00 
 97478.2781       0.00 
 97478.5221       0.00 
 97478.7661       0.00 
 97479.0101       0.00 
 97479.2541       0.00 
 97479.4981       0.00 
 97479.7421       0.00 
 97479.9861       0.00 
 97480.2301       0.00 
 97480.4741       0.00 
 97480.7181       0.00 
 97480.9621       0.00 
 97481.2061       0.00 
 97481.4501       0.00 
 97481.6941       0.00 
 97481.9381       0.00 
 97482.1821       0.00 
 97482.4261       0.00 
 97482.6701       0.00 
 97482.9141       0.00 
 97483.1581       0.00 
 97483.4021       0.00 
 97483.6461       0.00 
 97483.8901       0.00 
 97484.1341       0.00 
 97484.3781       0.00 
 97484.6221       0.00 
 97484.8661       0.00 
 97485.1101       0.00 
 97485.3541       0.00 
 97485.5981       0.00 
 97485.8421       0.00 
 97486.0861       0.00 
 97486.3301       0.00 
 97486.5741       0.00 
 97486.8181       0.00 
 97487.0621       0.00 
 97487.3061       0.00 
 97487.5501       0.00 
 97487.7941       0.00 
 97488.0381       0.00 
 97488.2821       0.00 
 97488.5261       0.00 
 97488.7701       0.00 
 97489.0141       0.00 
 97489.2581       0.00 
 97489.5021       0.00 
 97489.7461       0.00 
 97489.9901       0.00 
 97490.2341       0.00 
 97490.4781       0.00 
 97490.7221       0.00 
 97490.9661       0.00 
 97491.2101       0.00 
 97491.4541       0.00 
 97491.6981       0.00 
 97491.9421       0.01 
 97492.1861       0.01 
 97492.4301       0.03 
 97492.6741       0.05 
 97492.9181       0.07 
 97493.1621       0.09 
 97493.4061       0.10 
 97493.6501       0.10 
 97493.8941       0.09 
 97494.1381       0.07 
 97494.3821       0.05 
 97494.6261       0.03 
 97494.8701       0.01 
 97495.1141       0.01 
 97495.3581       0.00 
 97495.6021       0.00 
 97495.8461       0.00 
 97496.0901       0.00 
 97496.3341       0.00 
 97496.5781       0.00 
 97496.8221       0.00 
 97497.0661       0.00 
 97497.3101       0.00 
 97497.5541       0.01 
